Index,Long Name,Equation
AFRI1600,Aerosol Free Vegetation Index (1600 nm) [`ref <https://doi.org/10.1016/S0034-4257(01)00190-0>`_],:math:`(N-0.66\times S1)/(N+0.66\times S1)`
AFRI2100,Aerosol Free Vegetation Index (2100 nm) [`ref <https://doi.org/10.1016/S0034-4257(01)00190-0>`_],:math:`(N-0.5\times S2)/(N+0.5\times S2)`
ARI,Anthocyanin Reflectance Index [`ref <https://doi.org/10.1562/0031-8655(2001)074%3C0038:OPANEO%3E2.0.CO;2>`_],:math:`(1/G)-(1/RE1)`
ARVI,Atmospherically Resistant Vegetation Index [`ref <https://doi.org/10.1109/36.134076>`_],:math:`(N-(R-\gamma \times (R-B)))/(N+(R-\gamma \times (R-B)))`
ATSAVI,Adjusted Transformed Soil-Adjusted Vegetation Index [`ref <https://doi.org/10.1016/0034-4257(91)90009-U>`_],:math:`sla\times (N-sla\times R-slb)/(sla\times N+R-sla\times slb+0.08\times (1+sla^{2.0}))`
BCC,Blue Chromatic Coordinate [`ref <https://doi.org/10.1016/0034-4257(87)90088-5>`_],:math:`B/(R+G+B)`
BNDVI,Blue Normalized Difference Vegetation Index [`ref <https://doi.org/10.1016/S1672-6308(07)60027-4>`_],:math:`(N-B)/(N+B)`
BWDRVI,Blue Wide Dynamic Range Vegetation Index [`ref <https://doi.org/10.2135/cropsci2007.01.0031>`_],:math:`(\alpha \times N-B)/(\alpha \times N+B)`
CIG,Chlorophyll Index Green [`ref <https://doi.org/10.1078/0176-1617-00887>`_],:math:`(N/G)-1.0`
CIRE,Chlorophyll Index Red Edge [`ref <https://doi.org/10.1078/0176-1617-00887>`_],:math:`(N/RE1)-1`
CVI,Chlorophyll Vegetation Index [`ref <https://www.cabdirect.org/cabdirect/abstract/20073176046>`_],:math:`(N\times R)/(G^{2.0})`
DVI,Difference Vegetation Index [`ref <https://doi.org/10.2307/1936256>`_],:math:`N-R`
DVIplus,Difference Vegetation Index Plus [`ref <https://doi.org/10.1016/j.rse.2019.03.028>`_],:math:`((\lambda_{N} -\lambda_{R} )/(\lambda_{N} -\lambda_{G} ))\times G+(1.0-((\lambda_{N} -\lambda_{R} )/(\lambda_{N} -\lambda_{G} )))\times N-R`
EVI,Enhanced Vegetation Index [`ref <https://doi.org/10.1016/S0034-4257(96)00112-5>`_],:math:`g\times (N-R)/(N+C1\times R-C2\times B+L)`
EVI2,Two-Band Enhanced Vegetation Index [`ref <https://doi.org/10.1016/j.rse.2008.06.006>`_],:math:`g\times (N-R)/(N+2.4\times R+L)`
ExG,Excess Green Index [`ref <https://doi.org/10.13031/2013.27838>`_],:math:`2\times G-R-B`
FCVI,Fluorescence Correction Vegetation Index [`ref <https://doi.org/10.1016/j.rse.2020.111676>`_],:math:`N-((R+G+B)/3.0)`
GARI,Green Atmospherically Resistant Vegetation Index [`ref <https://www.indexdatabase.de/db/i-single.php?id=363>`_],:math:`(N-(G-(B-R)))/(N-(G+(B-R)))`
GBNDVI,Green-Blue Normalized Difference Vegetation Index [`ref <https://www.indexdatabase.de/db/i-single.php?id=186>`_],:math:`(N-(G+B))/(N+(G+B))`
GCC,Green Chromatic Coordinate [`ref <https://doi.org/10.1016/0034-4257(87)90088-5>`_],:math:`G/(R+G+B)`
GDVI,Generalized Difference Vegetation Index [`ref <https://doi.org/10.3390/rs6021211>`_],:math:`((N^{n})-(R^{n}))/((N^{n})+(R^{n}))`
GEMI,Global Environment Monitoring Index [`ref <http://dx.doi.org/10.1007/bf00031911>`_],:math:`((2.0\times ((N^{2.0})-(R^{2.0}))+1.5\times N+0.5\times R)/(N+R+0.5))\times (1.0-0.25\times ((2.0\times ((N^{2.0})-(R^2))+1.5\times N+0.5\times R)/(N+R+0.5)))-((R-0.125)/(1-R))`
GLI,Green Leaf Index [`ref <http://dx.doi.org/10.1080/10106040108542184>`_],:math:`(2.0\times G-R-B)/(2.0\times G+R+B)`
GNDVI,Green Normalized Difference Vegetation Index [`ref <https://doi.org/10.1016/S0034-4257(96)00072-7>`_],:math:`(N-G)/(N+G)`
GRNDVI,Green-Red Normalized Difference Vegetation Index [`ref <https://www.indexdatabase.de/db/i-single.php?id=185>`_],:math:`(N-(G+R))/(N+(G+R))`
GVMI,Global Vegetation Moisture Index [`ref <https://doi.org/10.1016/S0034-4257(02)00037-8>`_],:math:`((N+0.1)-(S2+0.02))/((N+0.1)+(S2+0.02))`
IRECI,Inverted Red-Edge Chlorophyll Index [`ref <https://doi.org/10.1016/j.isprsjprs.2013.04.007>`_],:math:`(RE3-R)/(RE1/RE2)`
MCARI,Modified Chlorophyll Absorption in Reflectance Index [`ref <http://dx.doi.org/10.1016/S0034-4257(00)00113-9>`_],:math:`((RE1-R)-0.2\times (RE1-G))\times (RE1/R)`
MCARI1,Modified Chlorophyll Absorption in Reflectance Index 1 [`ref <https://doi.org/10.1016/j.rse.2003.12.013>`_],:math:`1.2\times (2.5\times (N-R)-1.3\times (N-G))`
MCARI2,Modified Chlorophyll Absorption in Reflectance Index 2 [`ref <https://doi.org/10.1016/j.rse.2003.12.013>`_],:math:`(1.5\times (2.5\times (N-R)-1.3\times (N-G)))/((((2.0\times N+1)^2)-(6.0\times N-5\times (R^{0.5}))-0.5)^{0.5})`
MCARI705,Modified Chlorophyll Absorption in Reflectance Index (705 and 750 nm) [`ref <https://doi.org/10.1016/j.agrformet.2008.03.005>`_],:math:`((RE2-RE1)-0.2\times (RE2-G))\times (RE2/RE1)`
MCARIOSAVI,MCARI/OSAVI Ratio [`ref <https://doi.org/10.1016/S0034-4257(00)00113-9>`_],:math:`(((RE1-R)-0.2\times (RE1-G))\times (RE1/R))/(1.16\times (N-R)/(N+R+0.16))`
MCARIOSAVI705,MCARI/OSAVI Ratio (705 and 750 nm) [`ref <https://doi.org/10.1016/j.agrformet.2008.03.005>`_],:math:`(((RE2-RE1)-0.2\times (RE2-G))\times (RE2/RE1))/(1.16\times (RE2-RE1)/(RE2+RE1+0.16))`
MGRVI,Modified Green Red Vegetation Index [`ref <https://doi.org/10.1016/j.jag.2015.02.012>`_],:math:`(G^{2.0}-R^{2.0})/(G^{2.0}+R^{2.0})`
MNDVI,Modified Normalized Difference Vegetation Index [`ref <https://doi.org/10.1080/014311697216810>`_],:math:`(N-S2)/(N+S2)`
MNLI,Modified Non-Linear Vegetation Index [`ref <https://doi.org/10.1109/TGRS.2003.812910>`_],:math:`(1+L)\times ((N^2)-R)/((N^2)+R+L)`
MSAVI,Modified Soil-Adjusted Vegetation Index [`ref <https://doi.org/10.1016/0034-4257(94)90134-1>`_],:math:`0.5\times (2.0\times N+1-(((2\times N+1)^2)-8\times (N-R))^{0.5})`
MSR,Modified Simple Ratio [`ref <https://doi.org/10.1080/07038992.1996.10855178>`_],:math:`(N/R-1)/((N/R+1)^{0.5})`
MSR705,Modified Simple Ratio (705 and 750 nm) [`ref <https://doi.org/10.1016/j.agrformet.2008.03.005>`_],:math:`(RE2/RE1-1)/((RE2/RE1+1)^{0.5})`
MTCI,MERIS Terrestrial Chlorophyll Index [`ref <https://doi.org/10.1080/0143116042000274015>`_],:math:`(RE2-RE1)/(RE1-R)`
MTVI1,Modified Triangular Vegetation Index 1 [`ref <https://doi.org/10.1016/j.rse.2003.12.013>`_],:math:`1.2\times (1.2\times (N-G)-2.5\times (R-G))`
MTVI2,Modified Triangular Vegetation Index 2 [`ref <https://doi.org/10.1016/j.rse.2003.12.013>`_],:math:`(1.5\times (1.2\times (N-G)-2.5\times (R-G)))/((((2.0\times N+1)^2)-(6.0\times N-5\times (R^{0.5}))-0.5)^{0.5})`
NDGI,Normalized Difference Greenness Index [`ref <https://doi.org/10.1016/j.rse.2019.03.028>`_],:math:`(((\lambda_{N} -\lambda_{R} )/(\lambda_{N} -\lambda_{G} ))\times G+(1.0-((\lambda_{N} -\lambda_{R} )/(\lambda_{N} -\lambda_{G} )))\times N-R)/(((\lambda_{N} -\lambda_{R} )/(\lambda_{N} -\lambda_{G} ))\times G+(1.0-((\lambda_{N} -\lambda_{R} )/(\lambda_{N} -\lambda_{G} )))\times N+R)`
NDII,Normalized Difference Infrared Index [`ref <https://www.asprs.org/wp-content/uploads/pers/1983journal/jan/1983_jan_77-83.pdf>`_],:math:`(N-S1)/(N+S1)`
NDMI,Normalized Difference Moisture Index [`ref <https://doi.org/10.1016/S0034-4257(01)00318-2>`_],:math:`(N-S1)/(N+S1)`
NDPI,Normalized Difference Phenology Index [`ref <https://doi.org/10.1016/j.rse.2017.04.031>`_],:math:`(N-(\alpha \times R+(1.0-\alpha )\times S1))/(N+(\alpha \times R+(1.0-\alpha )\times S1))`
NDREI,Normalized Difference Red Edge Index [`ref <https://doi.org/10.1016/1011-1344(93)06963-4>`_],:math:`(N-RE1)/(N+RE1)`
NDVI,Normalized Difference Vegetation Index [`ref <https://ntrs.nasa.gov/citations/19740022614>`_],:math:`(N-R)/(N+R)`
NDVI705,Normalized Difference Vegetation Index (705 and 750 nm) [`ref <https://doi.org/10.1016/S0176-1617(11)81633-0>`_],:math:`(RE2-RE1)/(RE2+RE1)`
NDYI,Normalized Difference Yellowness Index [`ref <https://doi.org/10.1016/j.rse.2016.06.016>`_],:math:`(G-B)/(G+B)`
NGRDI,Normalized Green Red Difference Index [`ref <https://doi.org/10.1016/0034-4257(79)90013-0>`_],:math:`(G-R)/(G+R)`
NIRv,Near-Infrared Reflectance of Vegetation [`ref <https://doi.org/10.1126/sciadv.1602244>`_],:math:`((N-R)/(N+R))\times N`
NIRvH2,Hyperspectral Near-Infrared Reflectance of Vegetation [`ref <https://doi.org/10.1016/j.rse.2021.112723>`_],:math:`N-R-k\times (\lambda_{N} -\lambda_{R} )`
NIRvP,Near-Infrared Reflectance of Vegetation and Incoming PAR [`ref <https://doi.org/10.1016/j.rse.2021.112763>`_],:math:`((N-R)/(N+R))\times N\times PAR`
NLI,Non-Linear Vegetation Index [`ref <https://doi.org/10.1080/02757259409532252>`_],:math:`((N^2)-R)/((N^2)+R)`
NRFIg,Normalized Rapeseed Flowering Index Green [`ref <https://doi.org/10.3390/rs13010105>`_],:math:`(G-S2)/(G+S2)`
NRFIr,Normalized Rapeseed Flowering Index Red [`ref <https://doi.org/10.3390/rs13010105>`_],:math:`(R-S2)/(R+S2)`
OCVI,Optimized Chlorophyll Vegetation Index [`ref <http://dx.doi.org/10.1007/s11119-008-9075-z>`_],:math:`(N/G)\times (R/G)^{c}`
OSAVI,Optimized Soil-Adjusted Vegetation Index [`ref <https://doi.org/10.1016/0034-4257(95)00186-7>`_],:math:`(N-R)/(N+R+0.16)`
RCC,Red Chromatic Coordinate [`ref <https://doi.org/10.1016/0034-4257(87)90088-5>`_],:math:`R/(R+G+B)`
RDVI,Renormalized Difference Vegetation Index [`ref <https://doi.org/10.1016/0034-4257(94)00114-3>`_],:math:`(N-R)/((N+R)^{0.5})`
REDSI,Red-Edge Disease Stress Index [`ref <https://doi.org/10.3390/s18030868>`_],:math:`((705.0-665.0)\times (RE3-R)-(783.0-665.0)\times (RE1-R))/(2.0\times R)`
RVI,Ratio Vegetation Index [`ref <https://doi.org/10.2134/agronj1968.00021962006000060016x>`_],:math:`N/R`
S2REP,Sentinel-2 Red-Edge Position [`ref <https://doi.org/10.1016/j.isprsjprs.2013.04.007>`_],:math:`705.0+35.0\times ((((RE3+R)/2.0)-RE1)/(RE2-RE1))`
SARVI,Soil Adjusted and Atmospherically Resistant Vegetation Index [`ref <https://doi.org/10.1109/36.134076>`_],:math:`(1+L)\times (N-(R-(R-B)))/(N+(R-(R-B))+L)`
SAVI,Soil-Adjusted Vegetation Index [`ref <https://doi.org/10.1016/0034-4257(88)90106-X>`_],:math:`(1.0+L)\times (N-R)/(N+R+L)`
SAVI2,Soil-Adjusted Vegetation Index 2 [`ref <https://doi.org/10.1080/01431169008955053>`_],:math:`N/(R+(slb/sla))`
SIPI,Structure Insensitive Pigment Index [`ref <https://eurekamag.com/research/009/395/009395053.php>`_],:math:`(N-A)/(N-R)`
SR555,Simple Ratio (555 and 750 nm) [`ref <https://doi.org/10.1016/S0176-1617(11)81633-0>`_],:math:`RE2/G`
SR705,Simple Ratio (705 and 750 nm) [`ref <https://doi.org/10.1016/S0176-1617(11)81633-0>`_],:math:`RE2/RE1`
