acronym,name,classification,formula,bands,polarizations,constants,external_variables,reductions,source,contributor,date_of_addition
AFRI1600,Aerosol Free Vegetation Index (1600 nm),"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(N - 0.66 * S1) / (N + 0.66 * S1),"['N', 'S1']",[],{},{},{},"{'source_companions': ['AFRI2100'], 'source_link': 'https://doi.org/10.1016/S0034-4257(01)00190-0', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Arnon Karnieli', 'Yoram J. Kaufman', 'Lorraine Remer', 'Andrew Wald'], 'citations_metrics': {'citation_count': 150, 'date': '2026-08-18', 'overall': {'percentile': 38.02, 'percentile_similar_age': 21.95, 'rank': 195, 'rank_similar_age': 33}, 'similar_age_count': 41, 'within_application_domain': {'percentile': 25.59, 'percentile_similar_age': 12.12, 'rank': 158, 'rank_similar_age': 30}}, 'how_to_cite': {'apa': 'Arnon Karnieli, Yoram J. Kaufman, Lorraine Remer, & Andrew Wald (2001). AFRI — aerosol free vegetation index. Remote Sensing of Environment, 77(1). https://doi.org/10.1016/s0034-4257(01)00190-0', 'bibtex': 'ASI_AFRI1600'}, 'issue': '1', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'AFRI — aerosol free vegetation index', 'type': 'article', 'volume': '77', 'year': 2001}}",https://github.com/davemlz,2021-11-17
AFRI2100,Aerosol Free Vegetation Index (2100 nm),"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(N - 0.5 * S2) / (N + 0.5 * S2),"['N', 'S2']",[],{},{},{},"{'source_companions': ['AFRI1600'], 'source_link': 'https://doi.org/10.1016/S0034-4257(01)00190-0', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Arnon Karnieli', 'Yoram J. Kaufman', 'Lorraine Remer', 'Andrew Wald'], 'citations_metrics': {'citation_count': 150, 'date': '2026-08-18', 'overall': {'percentile': 38.02, 'percentile_similar_age': 21.95, 'rank': 196, 'rank_similar_age': 34}, 'similar_age_count': 41, 'within_application_domain': {'percentile': 25.59, 'percentile_similar_age': 12.12, 'rank': 159, 'rank_similar_age': 31}}, 'how_to_cite': {'apa': 'Arnon Karnieli, Yoram J. Kaufman, Lorraine Remer, & Andrew Wald (2001). AFRI — aerosol free vegetation index. Remote Sensing of Environment, 77(1). https://doi.org/10.1016/s0034-4257(01)00190-0', 'bibtex': 'ASI_AFRI1600'}, 'issue': '1', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'AFRI — aerosol free vegetation index', 'type': 'article', 'volume': '77', 'year': 2001}}",https://github.com/davemlz,2021-11-17
ANDWI,Augmented Normalized Difference Water Index,"{'application_domain': 'water', 'family': None, 'sensing_modalities': ['multispectral']}",(B + G + R - N - S1 - S2)/(B + G + R + N + S1 + S2),"['B', 'G', 'R', 'N', 'S1', 'S2']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/j.envsoft.2021.105030', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Arash Modaresi Rad', 'Jason Kreitler', 'Mojtaba Sadegh'], 'citations_metrics': {'citation_count': 134, 'date': '2026-08-18', 'overall': {'percentile': 33.87, 'percentile_similar_age': 66.67, 'rank': 208, 'rank_similar_age': 20}, 'similar_age_count': 57, 'within_application_domain': {'percentile': 54.84, 'percentile_similar_age': 72.73, 'rank': 15, 'rank_similar_age': 4}}, 'how_to_cite': {'apa': 'Arash Modaresi Rad, Jason Kreitler, & Mojtaba Sadegh (2021). Augmented Normalized Difference Water Index for improved surface water monitoring. Environmental Modelling &amp; Software, 140. https://doi.org/10.1016/j.envsoft.2021.105030', 'bibtex': 'ASI_ANDWI'}, 'journal': 'Environmental Modelling &amp; Software', 'source': 'crossref', 'title': 'Augmented Normalized Difference Water Index for improved surface water monitoring', 'type': 'article', 'volume': '140', 'year': 2021}}",https://github.com/davemlz,2022-09-22
ARI,Anthocyanin Reflectance Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(1 / G) - (1 / RE1),"['G', 'RE1']",[],{},{},{},"{'source_companions': ['ARI2'], 'source_link': 'https://doi.org/10.1562/0031-8655(2001)074%3C0038:OPANEO%3E2.0.CO;2', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Anatoly A. Gitelson', 'Mark N. Merzlyak', 'Olga B. Chivkunova'], 'citations_metrics': {'citation_count': 752, 'date': '2026-08-18', 'overall': {'percentile': 77.96, 'percentile_similar_age': 58.54, 'rank': 70, 'rank_similar_age': 18}, 'similar_age_count': 41, 'within_application_domain': {'percentile': 70.62, 'percentile_similar_age': 51.52, 'rank': 63, 'rank_similar_age': 17}}, 'how_to_cite': {'apa': 'Anatoly A. Gitelson, Mark N. Merzlyak, & Olga B. Chivkunova (2001). Optical Properties and Nondestructive Estimation of Anthocyanin Content in Plant Leaves¶. Photochemistry and Photobiology, 74(1). https://doi.org/10.1562/0031-8655(2001)074<0038:opaneo>2.0.co;2', 'bibtex': 'ASI_ARI'}, 'issue': '1', 'journal': 'Photochemistry and Photobiology', 'source': 'crossref', 'title': 'Optical Properties and Nondestructive Estimation of Anthocyanin Content in Plant Leaves¶', 'type': 'article', 'volume': '74', 'year': 2001}}",https://github.com/davemlz,2021-09-20
ARI2,Anthocyanin Reflectance Index 2,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",N * ((1 / G) - (1 / RE1)),"['N', 'G', 'RE1']",[],{},{},{},"{'source_companions': ['ARI'], 'source_link': 'https://doi.org/10.1562/0031-8655(2001)074%3C0038:OPANEO%3E2.0.CO;2', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Anatoly A. Gitelson', 'Mark N. Merzlyak', 'Olga B. Chivkunova'], 'citations_metrics': {'citation_count': 752, 'date': '2026-08-18', 'overall': {'percentile': 77.96, 'percentile_similar_age': 58.54, 'rank': 71, 'rank_similar_age': 19}, 'similar_age_count': 41, 'within_application_domain': {'percentile': 70.62, 'percentile_similar_age': 51.52, 'rank': 64, 'rank_similar_age': 18}}, 'how_to_cite': {'apa': 'Anatoly A. Gitelson, Mark N. Merzlyak, & Olga B. Chivkunova (2001). Optical Properties and Nondestructive Estimation of Anthocyanin Content in Plant Leaves¶. Photochemistry and Photobiology, 74(1). https://doi.org/10.1562/0031-8655(2001)074<0038:opaneo>2.0.co;2', 'bibtex': 'ASI_ARI'}, 'issue': '1', 'journal': 'Photochemistry and Photobiology', 'source': 'crossref', 'title': 'Optical Properties and Nondestructive Estimation of Anthocyanin Content in Plant Leaves¶', 'type': 'article', 'volume': '74', 'year': 2001}}",https://github.com/davemlz,2022-04-08
ARVI,Atmospherically Resistant Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(N - (R - gamma * (B - R))) / (N + (R - gamma * (B - R))),"['N', 'R', 'B']",[],"{'gamma': {'default_value': 1.0, 'description': 'Weighting coefficient used for reducing atmospheric effects', 'suggested_range': [0.0, 2.0], 'suggested_values': {'Bare soil, very sparse vegetation, or arid and semi-arid areas': 0.5, 'Equal ARVI to NDVI': 0.0, 'Lowest sensitivity for dense forests': [1.0, 2.0], 'Model-specific optimum for continental aerosol. alpha ~ 1.3': 0.9, 'Model-specific optimum for maritime aerosol. alpha ~ 0.2': 1.7}}}",{},{},"{'source_companions': ['SARVI'], 'source_link': 'https://doi.org/10.1109/36.134076', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Y.J. Kaufman', 'D. Tanre'], 'citations_metrics': {'citation_count': 1151, 'date': '2026-08-18', 'overall': {'percentile': 85.3, 'percentile_similar_age': 59.09, 'rank': 47, 'rank_similar_age': 10}, 'similar_age_count': 22, 'within_application_domain': {'percentile': 80.57, 'percentile_similar_age': 59.09, 'rank': 42, 'rank_similar_age': 10}}, 'how_to_cite': {'apa': 'Y.J. Kaufman, & D. Tanre (1992). Atmospherically resistant vegetation index (ARVI) for EOS-MODIS. IEEE Transactions on Geoscience and Remote Sensing, 30(2). https://doi.org/10.1109/36.134076', 'bibtex': 'ASI_ARVI'}, 'issue': '2', 'journal': 'IEEE Transactions on Geoscience and Remote Sensing', 'source': 'crossref', 'title': 'Atmospherically resistant vegetation index (ARVI) for EOS-MODIS', 'type': 'article', 'volume': '30', 'year': 1992}}",https://github.com/davemlz,2021-05-11
ATSAVI,Adjusted Transformed Soil-Adjusted Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",sla * (N - sla * R - slb) / (sla * N + R - sla * slb + X * (1 + sla ** 2.0)),"['N', 'R']",[],"{'X': {'default_value': 0.08, 'description': 'Negative abscissa of a reference point located on the soil line'}, 'sla': {'default_value': 1.0, 'description': 'Soil line slope. N = sla * R + slb (only for soil pixels/measurements)'}, 'slb': {'default_value': 0.0, 'description': 'Soil line intercept.  N = sla * R + slb (only for soil pixels/measurements)'}}",{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/0034-4257(91)90009-U', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['F. Baret', 'G. Guyot'], 'citations_metrics': {'citation_count': 1467, 'date': '2026-08-18', 'overall': {'percentile': 88.18, 'percentile_similar_age': 86.67, 'rank': 38, 'rank_similar_age': 3}, 'similar_age_count': 15, 'within_application_domain': {'percentile': 84.83, 'percentile_similar_age': 86.67, 'rank': 33, 'rank_similar_age': 3}}, 'how_to_cite': {'apa': 'F. Baret, & G. Guyot (1991). Potentials and limits of vegetation indices for LAI and APAR assessment. Remote Sensing of Environment, 35(2-3). https://doi.org/10.1016/0034-4257(91)90009-u', 'bibtex': 'ASI_ATSAVI'}, 'issue': '2-3', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Potentials and limits of vegetation indices for LAI and APAR assessment', 'type': 'article', 'volume': '35', 'year': 1991}}",https://github.com/davemlz,2021-05-14
AVI,Advanced Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(N * (1.0 - R) * (N - R)) ** (1/3),"['N', 'R']",[],{},{},{},"{'source_companions': ['BI', 'SI'], 'source_link': 'https://www.researchgate.net/publication/255718070_Tropical_forest_cover_density_mapping', 'source_link_semantic_scholar': {'corpus_id': 88163464, 'paper_id': '076b1060b928d1bf7a4ae1107ec82b291867c61e'}, 'source_link_status': 'operational', 'source_link_type': 'other', 'source_metadata': {'authors': ['A. Rikimaru', 'P. Roy', 'S. Miyatake'], 'citations_metrics': {'citation_count': 443, 'date': '2026-08-19', 'overall': {'percentile': 61.34, 'percentile_similar_age': 42.86, 'rank': 122, 'rank_similar_age': 29}, 'similar_age_count': 49, 'within_application_domain': {'percentile': 47.39, 'percentile_similar_age': 36.59, 'rank': 112, 'rank_similar_age': 27}}, 'how_to_cite': {'apa': 'A. Rikimaru, P. Roy, & S. Miyatake (2002). Tropical forest cover density mapping. Tropical Ecology, 43. https://www.researchgate.net/publication/255718070_Tropical_forest_cover_density_mapping', 'bibtex': 'ASI_AVI'}, 'journal': 'Tropical Ecology', 'source': 'semantic_scholar', 'title': 'Tropical forest cover density mapping', 'volume': '43', 'year': 2002}}",https://github.com/davemlz,2022-04-08
AWEInsh,Automated Water Extraction Index,"{'application_domain': 'water', 'family': None, 'sensing_modalities': ['multispectral']}",4.0 * (G - S1) - 0.25 * N + 2.75 * S2,"['G', 'S1', 'N', 'S2']",[],{},{},{},"{'source_companions': ['AWEIsh'], 'source_link': 'https://doi.org/10.1016/j.rse.2013.08.029', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Gudina L. Feyisa', 'Henrik Meilby', 'Rasmus Fensholt', 'Simon R. Proud'], 'citations_metrics': {'citation_count': 1860, 'date': '2026-08-18', 'overall': {'percentile': 89.46, 'percentile_similar_age': 100.0, 'rank': 34, 'rank_similar_age': 1}, 'similar_age_count': 28, 'within_application_domain': {'percentile': 93.55, 'percentile_similar_age': 100.0, 'rank': 3, 'rank_similar_age': 1}}, 'how_to_cite': {'apa': 'Gudina L. Feyisa, Henrik Meilby, Rasmus Fensholt, & Simon R. Proud (2014). Automated Water Extraction Index: A new technique for surface water mapping using Landsat imagery. Remote Sensing of Environment, 140. https://doi.org/10.1016/j.rse.2013.08.029', 'bibtex': 'ASI_AWEInsh'}, 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Automated Water Extraction Index: A new technique for surface water mapping using Landsat imagery', 'type': 'article', 'volume': '140', 'year': 2014}}",https://github.com/davemlz,2021-09-18
AWEIsh,Automated Water Extraction Index with Shadows Elimination,"{'application_domain': 'water', 'family': None, 'sensing_modalities': ['multispectral']}",B + 2.5 * G - 1.5 * (N + S1) - 0.25 * S2,"['B', 'G', 'N', 'S1', 'S2']",[],{},{},{},"{'source_companions': ['AWEInsh'], 'source_link': 'https://doi.org/10.1016/j.rse.2013.08.029', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Gudina L. Feyisa', 'Henrik Meilby', 'Rasmus Fensholt', 'Simon R. Proud'], 'citations_metrics': {'citation_count': 1860, 'date': '2026-08-18', 'overall': {'percentile': 89.46, 'percentile_similar_age': 100.0, 'rank': 35, 'rank_similar_age': 2}, 'similar_age_count': 28, 'within_application_domain': {'percentile': 93.55, 'percentile_similar_age': 100.0, 'rank': 4, 'rank_similar_age': 2}}, 'how_to_cite': {'apa': 'Gudina L. Feyisa, Henrik Meilby, Rasmus Fensholt, & Simon R. Proud (2014). Automated Water Extraction Index: A new technique for surface water mapping using Landsat imagery. Remote Sensing of Environment, 140. https://doi.org/10.1016/j.rse.2013.08.029', 'bibtex': 'ASI_AWEInsh'}, 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Automated Water Extraction Index: A new technique for surface water mapping using Landsat imagery', 'type': 'article', 'volume': '140', 'year': 2014}}",https://github.com/davemlz,2021-09-18
