short_name,long_name,formula,reference,type,date_of_addition,contributor,bands
BAI,Burned Area Index,(1.0/(((0.1-R)**2.0)+((0.06-N)**2.0))),https://digital.csic.es/bitstream/10261/6426/1/Martin_Isabel_Serie_Geografica.pdf,burn,2021-04-07,https://github.com/davemlz,"['R', 'N']"
BAIS2,Burned Area Index for Sentinel 2,((1.0-((((RE2*RE3)*RE4)/R)**0.5))*(((S2-RE4)/((S2+RE4)**0.5))+1.0)),https://doi.org/10.3390/ecrs-2-05177,burn,2021-04-07,https://github.com/davemlz,"['RE2', 'RE3', 'RE4', 'R', 'S2']"
BNDVI,Blue Normalized Difference Vegetation Index,((N-B)/(N+B)),https://www.indexdatabase.de/db/i-single.php?id=135,vegetation,2021-04-07,https://github.com/davemlz,"['N', 'B']"
CIG,Chlorophyll Index Green,((N/G)-1.0),https://www.indexdatabase.de/db/i-single.php?id=391,vegetation,2021-04-07,https://github.com/davemlz,"['N', 'G']"
CSIT,Char Soil Index Thermal,(N/(S2*(T1/10000.0))),https://doi.org/10.1080/01431160600954704,burn,2021-04-07,https://github.com/davemlz,"['N', 'S2', 'T1']"
CVI,Chlorophyll Vegetation Index,((N*R)/(G**2.0)),https://www.indexdatabase.de/db/i-single.php?id=391,vegetation,2021-04-07,https://github.com/davemlz,"['N', 'R', 'G']"
EVI,Enhanced Vegetation Index,(g*((N-R)/(((N+(C1*R))-(C2*B))+L))),https://www.indexdatabase.de/db/i-single.php?id=16,vegetation,2021-04-07,https://github.com/davemlz,"['g', 'N', 'R', 'C1', 'C2', 'B', 'L']"
EVI2,Two-Band Enhanced Vegetation Index,(g*((N-R)/((N+(2.4*R))+L))),https://doi.org/10.1016/j.rse.2008.06.006,vegetation,2021-04-07,https://github.com/davemlz,"['g', 'N', 'R', 'L']"
GARI,Green Atmospherically Resistant Vegetation Index,((N-(G-(B-R)))/(N-(G+(B-R)))),https://www.indexdatabase.de/db/i-single.php?id=363,vegetation,2021-04-07,https://github.com/davemlz,"['N', 'G', 'B', 'R']"
GBNDVI,Green-Blue Normalized Difference Vegetation Index,((N-(G+B))/(N+(G+B))),https://www.indexdatabase.de/db/i-single.php?id=186,vegetation,2021-04-07,https://github.com/davemlz,"['N', 'G', 'B']"
GEMI,Global Environment Monitoring Index,((((((2.0*((N**2.0)-(R**2.0)))+(1.5*N))+(0.5*R))/((N+R)+0.5))*(1.0-(0.25*((((2.0*((N**2.0)-(R**2)))+(1.5*N))+(0.5*R))/((N+R)+0.5)))))-((R-0.125)/(1-R))),https://www.indexdatabase.de/db/i-single.php?id=25,vegetation,2021-04-07,https://github.com/davemlz,"['N', 'R']"
GLI,Green Leaf Index,((((2.0*G)-R)-B)/(((2.0*G)+R)+B)),https://www.indexdatabase.de/db/i-single.php?id=375,vegetation,2021-04-07,https://github.com/davemlz,"['G', 'R', 'B']"
GNDVI,Green Normalized Difference Vegetation Index,((N-G)/(N+G)),https://www.indexdatabase.de/db/i-single.php?id=401,vegetation,2021-04-07,https://github.com/davemlz,"['N', 'G']"
GRNDVI,Green-Red Normalized Difference Vegetation Index,((N-(G+R))/(N+(G+R))),https://www.indexdatabase.de/db/i-single.php?id=185,vegetation,2021-04-07,https://github.com/davemlz,"['N', 'G', 'R']"
GVMI,Global Vegetation Moisture Index,(((N+0.1)-(S2+0.02))/((N+0.1)+(S2+0.02))),https://www.indexdatabase.de/db/i-single.php?id=372,vegetation,2021-04-07,https://github.com/davemlz,"['N', 'S2']"
MNDVI,Modified Normalized Difference Vegetation Index,((N-S2)/(N+S2)),https://www.indexdatabase.de/db/i-single.php?id=245,vegetation,2021-04-07,https://github.com/davemlz,"['N', 'S2']"
MNDWI,Modified Normalized Difference Water Index,((G-S1)/(G+S1)),https://doi.org/10.1080/01431160600589179,water,2021-04-07,https://github.com/davemlz,"['G', 'S1']"
NBR,Normalized Burn Ratio,((N-S2)/(N+S2)),https://www.indexdatabase.de/db/i-single.php?id=53,burn,2021-04-07,https://github.com/davemlz,"['N', 'S2']"
