Index,Long Name,Equation
ANDWI,Augmented Normalized Difference Water Index [`ref <https://doi.org/10.1016/j.envsoft.2021.105030>`_],:math:`(B+G+R-N-S1-S2)/(B+G+R+N+S1+S2)`
AWEInsh,Automated Water Extraction Index [`ref <https://doi.org/10.1016/j.rse.2013.08.029>`_],:math:`4.0\times (G-S1)-0.25\times N+2.75\times S2`
AWEIsh,Automated Water Extraction Index with Shadows Elimination [`ref <https://doi.org/10.1016/j.rse.2013.08.029>`_],:math:`B+2.5\times G-1.5\times (N+S1)-0.25\times S2`
FAI,Floating Algae Index [`ref <https://doi.org/10.1016/j.rse.2009.05.012>`_],:math:`N-(R+(S1-R)\times ((\lambda_{N} -\lambda_{R} )/(lambdaS1-\lambda_{R} )))`
LSWI,Land Surface Water Index [`ref <https://doi.org/10.1016/j.rse.2003.11.008>`_],:math:`(N-S1)/(N+S1)`
MBWI,Multi-Band Water Index [`ref <https://doi.org/10.1016/j.jag.2018.01.018>`_],:math:`(\omega \times G)-R-N-S1-S2`
MLSWI26,Modified Land Surface Water Index (MODIS Bands 2 and 6) [`ref <https://doi.org/10.3390/rs71215805>`_],:math:`(1.0-N-S1)/(1.0-N+S1)`
MLSWI27,Modified Land Surface Water Index (MODIS Bands 2 and 7) [`ref <https://doi.org/10.3390/rs71215805>`_],:math:`(1.0-N-S2)/(1.0-N+S2)`
MNDWI,Modified Normalized Difference Water Index [`ref <https://doi.org/10.1080/01431160600589179>`_],:math:`(G-S1)/(G+S1)`
MuWIR,Revised Multi-Spectral Water Index [`ref <https://doi.org/10.3390/rs10101643>`_],:math:`-4.0\times ((B-G)/(B+G))+2.0\times ((G-N)/(G+N))+2.0\times ((G-S2)/(G+S2))-((G-S1)/(G+S1))`
NDCI,Normalized Difference Chlorophyll Index [`ref <https://doi.org/10.1016/j.rse.2011.10.016>`_],:math:`(RE1-R)/(RE1+R)`
NDPonI,Normalized Difference Pond Index [`ref <https://doi.org/10.1016/j.rse.2006.07.012>`_],:math:`(S1-G)/(S1+G)`
NDTI,Normalized Difference Turbidity Index [`ref <https://doi.org/10.1016/j.rse.2006.07.012>`_],:math:`(R-G)/(R+G)`
NDVIMNDWI,NDVI-MNDWI Model [`ref <https://doi.org/10.1007/978-3-662-45737-5_51>`_],:math:`((N-R)/(N+R))-((G-S1)/(G+S1))`
NDWI,Normalized Difference Water Index [`ref <https://doi.org/10.1080/01431169608948714>`_],:math:`(G-N)/(G+N)`
NDWIns,Normalized Difference Water Index with no Snow Cover and Glaciers [`ref <https://doi.org/10.3390/w12051339>`_],:math:`(G-\alpha \times N)/(G+N)`
NWI,New Water Index [`ref <https://doi.org/10.11873/j.issn.1004-0323.2009.2.167>`_],:math:`(B-(N+S1+S2))/(B+(N+S1+S2))`
OSI,Oil Spill Index [`ref <https://doi.org/10.1016/j.mex.2021.101327>`_],:math:`(G+R)/B`
PI,Plastic Index [`ref <https://doi.org/10.3390/rs12162648>`_],:math:`N/(N+R)`
S2WI,Sentinel-2 Water Index [`ref <https://doi.org/10.3390/w13121647>`_],:math:`(RE1-S2)/(RE1+S2)`
SWM,Sentinel Water Mask [`ref <https://eoscience.esa.int/landtraining2017/files/posters/MILCZAREK.pdf>`_],:math:`(B+G)/(N+S1)`
TWI,Triangle Water Index [`ref <https://doi.org/10.3390/rs14215289>`_],:math:`(2.84\times (RE1-RE2)/(G+S2))+((1.25\times (G-B)-(N-B))/(N+1.25\times G-0.25\times B))`
WI1,Water Index 1 [`ref <https://doi.org/10.3390/rs11182186>`_],:math:`(G-S2)/(G+S2)`
WI2,Water Index 2 [`ref <https://doi.org/10.3390/rs11182186>`_],:math:`(B-S2)/(B+S2)`
WI2015,Water Index 2015 [`ref <https://doi.org/10.1016/j.rse.2015.12.055>`_],:math:`1.7204+171\times G+3\times R-70\times N-45\times S1-71\times S2`
WRI,Water Ratio Index [`ref <https://doi.org/10.1109/GEOINFORMATICS.2010.5567762>`_],:math:`(G+R)/(N+S1)`
